Designator,Mid X,Mid Y,Layer,Rotation
D1,20,-30,top,270
D2,55,-30,top,270
D3,90,-30,top,270
D4,20,-65,top,270
D5,55,-65,top,270
D6,90,-65,top,270
D7,20,-100,top,270
D8,55,-100,top,270
D9,90,-100,top,270
D10,20,-135,top,270
D11,55,-135,top,270
D12,90,-135,top,270
D13,20,-170,top,270
D14,55,-170,top,270
D15,90,-170,top,270
D16,35,-200,top,270
D17,72.5,-200,top,270
J1,0,0,top,270
J2,0,-25,top,270
J3,0,-50,top,270
J4,0,-75,top,270
J5,0,-100,top,270
J6,0,-125,top,270
J7,0,-150,top,270
J8,0,-175,top,270
J9,0,-200,top,270